stock_code,stock_name
7153.KL,KOSSAN RUBBER INDUSTRIES BHD
0002.KL,KOTRA INDUSTRIES BHD
5878.KL,KPJ HEALTHCARE BHD
7130.KL,KUMPULAN POWERNET BHD
5843.KL,KUMPULAN PERANGSANG SELANGOR
9121.KL,KPS CONSORTIUM BHD
1996.KL,KRETAM HOLDINGS BHD
3476.KL,KECK SENG (M) BHD
5038.KL,KSL HOLDINGS BHD
4847.KL,KONSORTIUM TRANSNASIONAL BHD
6874.KL,KUB MALAYSIA BHD
2186.KL,KUCHAI DEVELOPMENT BHD
2003.KL,2003.KL
5097.KL,5097.KL
5193.KL,5193.KL
6572.KL,KWANTAS CORPORATION BHD
8362.KL,KYM HOLDINGS BHD
0110.KL,0110.KL
3174.KL,LAND & GENERAL BHD
1643.KL,LANDMARKS BHD
7064.KL,7064.KL
7006.KL,LATITUDE TREE HOLDINGS BHD
9385.KL,LAY HONG BHD
9326.KL,LB ALUMINIUM BHD
8494.KL,LBI CAPITAL BHD
5789.KL,LBS BINA GROUP BHD
7943.KL,SAND NISKO CAPITAL BERHAD
7177.KL,7177.KL
5092.KL,LCTH CORPORATION BHD
9628.KL,9628.KL
4529.KL,4529.KL
8079.KL,LEE SWEE KIAT GROUP BHD
8745.KL,LEWEKO RESOURCES BHD
7170.KL,LFE CORPORATION BHD
4839.KL,4839.KL
3573.KL,LIEN HOE CORPORATION BHD
7089.KL,LII HEN INDUSTRIES BHD
7194.KL,7194.KL
9504.KL,9504.KL
2011.KL,2011.KL
3581.KL,3581.KL
2887.KL,LION DIVERSIFIED HOLDINGS BHD
8486.KL,LION FOREST INDUSTRIES BHD
4235.KL,LION INDUSTRIES CORPORATION
7118.KL,7118.KL
6645.KL,LINGKARAN TRANS KOTA HOLDINGS
9822.KL,SAM ENGINEERING & EQUIPMENT
3794.KL,LAFARGE MALAYSIA BERHAD
0025.KL,LNG RESOURCES BHD
7706.KL,7706.KL
7126.KL,LONDON BISCUITS BHD
8621.KL,LPI CAPITAL BHD
9881.KL,LEADER STEEL HOLDINGS BHD
7085.KL,LTKM BHD
5068.KL,LUSTER INDUSTRIES BHD
5143.KL,LUXCHEM CORPORATION BHD
9199.KL,LYSAGHT GALVANIZED STEEL BHD
8559.KL,8559.KL
0017.KL,M3 TECHNOLOGIES(ASIA)BHD
1198.KL,MAA GROUP BERHAD
7075.KL,7075.KL
7617.KL,MAGNA PRIMA BHD
7087.KL,MAGNI-TECH INDUSTRIES BHD
9725.KL,9725.KL
8583.KL,MAH SING GROUP BHD
3743.KL,SUNSURIA BERHAD
4936.KL,MALPAC HOLDINGS BHD
6181.KL,MALTON BHD
5282.KL,5282.KL
1058.KL,MANULIFE HOLDINGS BERHAD
3514.KL,MARCO HOLDINGS BHD
3786.KL,3786.KL
5098.KL,MALAYSIA STEEL WORKS (KL)BHD
7029.KL,MASTER-PACK GROUP BERHAD
9733.KL,9733.KL
6012.KL,MAXIS BERHAD
9202.KL,9202.KL
1155.KL,MALAYAN BANKING BHD
5077.KL,MALAYSIAN BULK CARRIERS BHD
8095.KL,MALAYSIA PACKAGING INDUSTRY
1236.KL,1236.KL
5152.KL,MUAR BAN LEE GROUP BERHAD
5983.KL,MBM RESOURCES BHD
1171.KL,MALAYSIA BUILDING SOCIETY BHD
0013.KL,0013.KL
3875.KL,3875.KL
3808.KL,3808.KL
5040.KL,MEDA INC. BHD
4502.KL,MEDIA PRIMA BHD
5090.KL,MEDIA CHINESE INTERNATIONAL LT
5129.KL,MELATI EHSAN HOLDINGS BHD
3778.KL,MELEWAR INDUSTRIAL GROUP BHD
0052.KL,0052.KL
1694.KL,MENANG CORPORATION (M) BHD
5223.KL,MENTIGA CORPORATION BHD
8192.KL,MERCURY INDUSTRIES BHD
5006.KL,MERGE ENERGY BHD
7234.KL,MESB BHD
7059.KL,7059.KL
9024.KL,9024.KL
6149.KL,METROD HOLDINGS BERHAD
6114.KL,MKH BERHAD
0075.KL,MEXTER TECHNOLOGY BHD
3069.KL,MEGA FIRST CORPORATION BHD
3662.KL,MALAYAN FLOUR MILLS BHD
5026.KL,MHC PLANTATIONS BHD
5033.KL,5033.KL
0126.KL,MICROLINK SOLUTIONS BHD
5001.KL,MIECO CHIPBOARD BHD
0112.KL,MIKRO MSC BERHAD
7935.KL,7935.KL
7219.KL,MINETECH RESOURCES BHD
5576.KL,MINHO (M) BHD
7079.KL,TIGER SYNERGY BERHAD
5886.KL,MINTYE INDUSTRIES BHD
3816.KL,MISC BHD
8311.KL,PESONA METRO HOLDINGS BHD
9571.KL,MITRAJAYA HOLDINGS BHD
